Date,JPM UN Equity,USB UN Equity,GS UN Equity,FB UW Equity,AAPL UW Equity,GOOGL UW Equity,GM UN Equity,F UN Equity
27/12/2016,87.13,52.31,241.56,118.01,117.26,809.93,35.54,12.39
28/12/2016,86.5,51.78,240.65,116.92,116.76,804.57,35.15,12.25
29/12/2016,85.89,51.3,238.18,116.35,116.73,802.88,35.14,12.23
30/12/2016,86.29,51.37,239.45,115.05,115.82,792.45,34.84,12.13
03/01/2017,87.23,51.46,241.57,116.86,116.15,808.01,35.15,12.59
04/01/2017,86.91,51.84,243.13,118.69,116.02,807.77,37.09,13.17
05/01/2017,86.11,50.97,241.32,120.67,116.61,813.02,36.39,12.77
06/01/2017,86.12,51.3,244.9,123.41,117.91,825.21,35.99,12.76
09/01/2017,86.18,51.07,242.89,124.9,118.99,827.18,36.01,12.63
10/01/2017,86.43,51.22,242.57,124.35,119.11,826.01,37.35,12.85
11/01/2017,87.08,51.79,245.76,126.09,119.75,829.86,37.95,12.67
12/01/2017,86.24,51.43,243.84,126.62,119.25,829.53,37.51,12.59
13/01/2017,86.7,51.69,244.3,128.34,119.04,830.94,37.34,12.63
17/01/2017,83.55,50.31,235.74,127.87,120,827.46,37.31,12.61
18/01/2017,83.94,50.56,234.29,127.92,119.99,829.02,37.47,12.41
19/01/2017,83.3,50.73,231.41,127.55,119.78,824.37,37.3,12.43
20/01/2017,83.67,51.2,232.2,127.04,120,828.17,37.01,12.36
23/01/2017,83.71,50.97,232.67,128.93,120.08,844.43,36.65,12.31
24/01/2017,84.72,51.77,233.68,129.37,119.97,849.53,37,12.61
25/01/2017,86.03,52.45,237.25,131.48,121.88,858.45,38.28,12.79
26/01/2017,86.75,52.95,239.58,132.78,121.94,856.98,37.52,12.37
27/01/2017,86.93,52.99,236.95,132.18,121.95,845.03,37.01,12.49
30/01/2017,86.03,52.85,233.9,130.98,121.63,823.83,36.33,12.37
31/01/2017,84.63,52.65,229.32,130.32,121.35,820.19,36.61,12.36
01/02/2017,84.95,53.03,230.67,133.23,128.75,815.24,36.14,12.32
02/02/2017,84.59,53.13,230.41,130.84,128.53,818.26,35.73,12.28
03/02/2017,87.18,53.66,240.95,130.98,129.08,820.13,36.33,12.56
06/02/2017,86.77,53.4,239.98,132.06,130.29,821.62,36.83,12.52
07/02/2017,86.72,53.2,239.62,131.84,131.53,829.23,35.1,12.34
08/02/2017,85.96,52.89,237.73,134.2,132.04,829.88,35.14,12.38
09/02/2017,87.2,53.54,241.55,134.14,132.42,830.06,35.08,12.38
10/02/2017,87,53.61,242.72,134.19,132.12,834.85,35.17,12.51
13/02/2017,88.15,54.13,246.27,134.05,133.29,838.96,35.52,12.56
14/02/2017,89.56,54.55,249.46,133.85,135.02,840.03,37.24,12.65
15/02/2017,90.59,55.14,250.54,133.44,135.51,837.32,37.08,12.63
16/02/2017,90.53,55.01,249.44,133.84,135.345,842.17,37.03,12.54
17/02/2017,90.23,54.88,250.38,133.53,135.72,846.55,37.22,12.58
21/02/2017,91.01,55.2,251.76,133.72,136.7,849.27,37.81,12.69
22/02/2017,91.06,55.31,251.73,136.12,137.11,851.36,37.84,12.67
23/02/2017,91.13,55.4,251.19,135.36,136.53,851,37.25,12.56
24/02/2017,90.33,55.1,247.35,135.44,136.66,847.81,36.9,12.47
27/02/2017,90.43,55.29,249.33,136.41,136.93,849.67,37.27,12.66
28/02/2017,90.62,55,248.06,135.54,136.99,844.93,36.84,12.53
01/03/2017,93.6,56.41,252.71,137.42,139.79,856.75,37.43,12.69
02/03/2017,92.14,55.48,251.06,136.76,138.96,849.85,37.76,12.66
03/03/2017,92.8,55.55,252.89,137.17,139.78,849.08,38.23,12.65
06/03/2017,91.92,55.29,252.01,137.42,139.34,847.27,37.91,12.52
07/03/2017,91.41,55.03,250.9,137.3,139.52,851.15,37.52,12.46
08/03/2017,91.21,54.87,250.24,137.72,139,853.64,37.27,12.53
09/03/2017,91.57,54.94,250.18,138.24,138.68,857.84,36.83,12.5
10/03/2017,91.28,54.94,248.38,138.79,139.14,861.405,36.83,12.53
13/03/2017,91.36,54.92,248.16,139.6,139.2,864.58,36.87,12.54
14/03/2017,91.51,55,247.72,139.32,138.99,865.91,36.96,12.55
15/03/2017,91.73,54.96,246.78,139.72,140.46,868.39,37.09,12.65
16/03/2017,91.64,55.03,248.22,139.99,140.69,870,37.08,12.7
17/03/2017,90.68,54.69,243.94,139.84,139.99,872.37,36.33,12.48
20/03/2017,90.07,54.24,242.01,139.94,141.46,867.91,35.79,12.26
21/03/2017,87.39,52.69,233,138.51,139.84,850.14,34.55,11.72
22/03/2017,87.53,52.6,231.07,139.59,141.42,849.8,34.39,11.77
23/03/2017,87.39,52.58,231.9,139.53,140.92,839.65,34.26,11.67
24/03/2017,87.29,52.57,228.41,140.34,140.64,835.14,34.56,11.62
27/03/2017,87.24,52.2,225.48,140.32,140.88,838.51,34.71,11.46
28/03/2017,88.6,52.71,229.33,141.76,143.8,840.63,35.56,11.65
29/03/2017,88.27,51.75,228.45,142.65,144.12,849.87,35.54,11.68
30/03/2017,89.03,52.12,231.22,142.41,143.93,849.48,35.41,11.68
31/03/2017,87.84,51.5,229.72,142.05,143.66,847.8,35.36,11.64
03/04/2017,87.52,51.55,228.96,142.28,143.7,856.75,34.17,11.44
04/04/2017,87.31,51.46,229.26,141.73,144.77,852.57,34.27,11.37
05/04/2017,86.19,51.04,227.66,141.85,144.02,848.91,34,11.26
06/04/2017,86.48,51.35,228.64,141.17,143.66,845.095,34.16,11.27
07/04/2017,86.18,51.15,227.88,140.78,143.34,842.1,33.71,11.23
10/04/2017,85.88,50.78,228.89,141.04,143.17,841.7,33.97,11.25
11/04/2017,85.73,50.89,227.74,139.92,141.63,839.88,33.92,11.28
12/04/2017,85.4,50.7,225.75,139.58,141.8,841.46,33.94,11.23
13/04/2017,84.4,49.98,223.32,139.39,141.05,840.18,33.39,11.11
17/04/2017,85.86,50.54,226.26,141.42,141.83,855.13,33.9,11.28
18/04/2017,85.16,49.8,215.59,140.96,141.2,853.99,33.69,11.14
19/04/2017,84.46,49.69,214.09,142.27,140.68,856.51,33.79,11.19
20/04/2017,85.55,50.68,218.06,143.8,142.44,860.08,34.1,11.47
21/04/2017,84.52,50.51,216.86,143.68,142.27,858.95,33.75,11.34
24/04/2017,87.5,51.56,223.22,145.47,143.64,878.93,33.91,11.43
25/04/2017,88.26,52.13,226.63,146.49,144.53,888.84,33.99,11.48
26/04/2017,88.43,52.12,226.2,146.56,143.68,889.14,34.38,11.6
27/04/2017,87.61,51.92,225.81,147.7,143.79,891.44,34.54,11.47
28/04/2017,87,51.28,223.8,150.25,143.65,924.52,34.64,11.47
01/05/2017,87.06,51.7,224.85,152.46,146.58,932.82,34.2,11.42
02/05/2017,86.5,51.57,225.12,152.78,147.51,937.09,33.2,10.92
03/05/2017,87,52.21,226.31,151.8,147.06,948.45,33.48,11.07
04/05/2017,87.1,52.31,226.59,150.85,146.53,954.72,33.15,11
05/05/2017,87,51.77,226.87,150.24,148.96,950.28,33.77,11.14
08/05/2017,87.1,52,225.03,151.06,153.01,958.69,33.97,11.13
09/05/2017,86.75,51.58,223.76,150.48,153.99,956.71,34.26,11.16
10/05/2017,87.43,51.97,224.88,150.29,153.26,954.84,34.23,11.04
11/05/2017,87.16,51.64,224.76,150.04,153.95,955.89,34.11,11.01
12/05/2017,86.92,51.41,222.82,150.33,156.1,955.14,33.62,10.92
15/05/2017,87.34,51.77,225.12,150.19,155.7,959.22,33.82,10.94
16/05/2017,87.61,51.96,225.6,149.78,155.47,964.61,33.42,10.94
17/05/2017,84.27,50.46,213.72,144.85,150.25,942.17,32.42,10.76
18/05/2017,83.96,50.74,215.16,147.66,152.54,950.5,32.47,10.79
19/05/2017,84.78,51.1,215.39,148.06,153.06,954.65,32.72,10.87
22/05/2017,84.7,51.44,216.02,148.24,153.99,964.07,32.92,11.1
